Question N°,Categorie,Questions,Réponse A,Réponse B,Réponse C,Réponse D,Réponse E,Réponse correcte,Photo / schéma technique,
18,1 - Mécanique générale,Quels sont les 4 temps moteur dans l'ordre?,Admission/combustion/détente/échappement,Admission/compression/combustion détente/échappement,Compression/combustion détente/Admission/Echappement,,,B,,
19,1 - Mécanique générale,Quel est le rôle du thermostat?,Permet de gérer la montée en température du moteur plus rapidement,Permet d'indiquer au calculateur la température du circuit de refroidissement,Permet de gérer la température du moteur pour optimiser son rendement,,,,A et C,
20,1 - Mécanique générale,Que signifie moteur à soupapes en tête?,Que le mouvement de fermeture des soupapes est réalisé dans le sens contraire que le mouvement du piston allant du PMB au PMH,Que le mouvement de fermeture des soupapes est réalisé dans le même sens que le mouvement du piston allant du PMB au PMH,,,,B,,
21,2 - Electricité,À quel calculateur la pédale d'accélérateur est-elle connectée?,A l'ECU: FFR,A l'ECU :  BBR,A l'ECU : EBV,A l'ECU EBS,A l'ECU EMS,A,,
22,2 - Electricité,A quelle époque les réseaux CAN ont fait leur apparition sur les véhicules industriels ?,Dans les années 70 ?,Dans les années 80 ?,Dans les années 2000 ?,Dans les années 90 ?,Dans les années 60 ?,C,,
23,2 - Electricité,A quelle époque les réseaux CAN ont fait leur apparition sur les véhicules industriels ?,Dans les années 70 ?,Dans les années 80 ?,Dans les années 2000 ?,dans les années 90,Dans les années 70,C,,
24,2 - Electricité,A quoi servent les systèmes de circuits électriques appelés: `` CAN BUS '' sur les véhicules utilisés?,Augmentez le nombre de fils électriques,Pour réduire le nombre de fils électriques,Accroître le partage de données entre les systèmes électroniques,Diminuer les parasites dans les faisceaux electriques ,a eviter les court-circuits,C,,
25,2 - Electricité,Ces batteries 12 V connectées en parallèle selon les schémas permettent de délivrer quelle tension?,12V ,24V ,48V ,,,B,,
26,2 - Electricité,Ces Batteries de 12 V branchées selon le schémas permettent de délivrer quelle tension ?,12V ,24V ,48V ,96V,,B,,
27,2 - Electricité,Comment contrôler un capteur actif?,En résistance uniquement,En tension uniquement,Tension et ampérage,avec une lampe témoin,avec une jauge de profondeur,B,,
28,2 - Electricité,Dans les circuits Bus Can que signifie l'appellation CAN ?,Controleur Asymétrique Network,Controleur Area Network,Capacité Asychrone Neutre,Controleur Asymétrique  Numérique ,Circuit Asymétrique Neutre,B,,
29,2 - Electricité,Dans quel calculateur les protocoles des différents bus CAN sont-ils échangés et transmis?,Dans l'ensemble des calculateurs ,"Par la ""Gateway"" de l'ECU",Dans le calculateur MR,,,B,,
30,2 - Electricité,Dans quelle ECU sont échangés et transmis les protocoles des différents bus CAN ?, Dans le calculateur combiné ,  Dans l’UCE « Gateway »,Dans le calculateur  « MR » ,Dans le calculateur  « FR » ,Dans le calculateur  « EMS » ,B,,
31,2 - Electricité,"Dans un schémas electrique, a quoi fait référence le symbole de la lettre ''A'' ?",Un Appareil,Une Ampoule,Un Ampèremetre,un signal ''ATTENTION'',une Avarie,C,,
32,2 - Electricité,Lequel des capteurs énumérés ci-dessous n'est en aucun cas un capteur inductif?,Capteur de position de pédale d'accélérateur,Capteur de position d'arbre à cames,Capteur de vitesse turbo,Capteur Boost,Capteur variable de distribution ,A,,
33,2 - Electricité,Lequel des capteurs listés ci-dessous n'est en aucun cas un capteur actif ? ,Capteur de mouvement aiguille , Capteur de niveau,Capteur de vitesse de roue ,Capteur de position d'arbre à cames,Je ne sais pas,A,,
34,2 - Electricité,Lequel des capteurs listés ci-dessous n'est en aucun cas un capteur inductif ?,Capteur de position pédale accélérateur, Capteur de position d'arbre à cames,Capteur vitesse turbo,Capteur de pression de  suralimentation,Capteur de distribution variable,A,,
35,2 - Electricité,Les systèmes de cicuit electrique dit :''BUS CAN'' sur les véhicules servent a quoi ?,Augmenter le nombre de fil electrique,A diminuer le nombre de fil electrique, Augmenter le partage des données entre les systèmes électroniques,A communiquer avec les systèmes multimédia,a echanger des données avec le web,C,,
36,2 - Electricité,On utilise ce symbole ( R ) pour dire qu'il s'agit d'une ?,Une Tension,Une Inténsité,Une Résistance,d'un retour de courant,,C,,
37,2 - Electricité,Que faut-il prendre en compte pour tester les capteurs à effet Hall ?,"Pour tous les tests, la tension d'alimentation doit être déconnectée", Il n‘y a rien de particulier ,Attention aux hautes tensions  dans le circuit secondaire,il faut utiliser un Voltmétre,il faut utiliser un Ampèremétre,B,,
38,2 - Electricité,Que signifie le symbole   ( U ) ?,Une Tension,Une Inténsité,Une Résistance,Une Unité,,A,,
39,2 - Electricité,Que signifie le symbole d'un rectangle barré d'une flèche ?  ,Une Résistance,Une resistance variable,Un Calorstat,Une sonde variable,Un Piezzo electrique ,B,,
40,2 - Electricité,Quel est le rôle des résistances de terminaison?,A surveiller la température des faisceaux électriques et du calculateur,  A contrôler si le faisceau électrique n’est pas endommagé,Eliminer les perturbations des données transmises,à augmenter la température des ECU connectés,a surveiller la tension,C,,
41,2 - Electricité,Quel est le rôle des résistances de terminaison?,Pour surveiller la température des faisceaux électriques et de l'ECU,Vérifiez si le faisceau de câbles n'est pas endommagé,Élimine les perturbations dans les données transmises,Permettent d'envoyer des fréquences dans le circuit,permettent d'envoyer un courant sinusoidale dans les circuits,C,,
42,2 - Electricité,Quel est le type de signal d'activation d'un ventilateur commandé par l'ECU ? , une commande PWM ,Une commande en masse libre,Une commande par un + contrôlé,Une implusion de tension négative,une impulsion de tension positive ,A,,
43,2 - Electricité,Quel est le type de signal d'activation d'une valve de chauffage de réservoir AD Blue ? ,RCO,EPR,PWM,On / Off,Bus Can,C,,
44,2 - Electricité,Quel type de signal fournie un débitmètre d’air de type HFM 6 ?,Analogique,Fréquentiel,Proportionnel ,Je ne sais pas ,Numerique,B,,
45,2 - Electricité,Quelle affirmation concernant les thermistances CTN ou CTP n'est pas correcte ? ,Les thermistances CTP et CTN ont la même plage de mesure,"Avec une CTP, la résistance augmente avec l‘élévation de la température","Avec une CTN, la résistance diminue avec l'augmentation de la température",,,A,,
46,2 - Electricité,Quelle est la plage de tension d'un Capteur de température d'air de type CTN ?, 0.5 V - 1.5 V,1.5 V - 2.5 V,0.5 V - 4.7 V,0.5 V - 5.5 V ,0.5 V - 4 V,C,,
47,2 - Electricité,Quelle est le débit maximal d'un Bus Can a haute vitesse ?,1 Mbit/s,2 Mbit/s,3 Mbit/s,4 Mbit/s,5 Mbit/s,A,,
48,2 - Electricité,Quelle est le débit maximal d'un Bus Can faible vitesse ?,50 kbit/s,75 kbit/s,100 kbit/s,125 kbit/s,150 kbit/s,D,,
49,2 - Electricité,Quelle valeur de résistance de terminaison doit être trouvée aux bornes d'un calculateur déconnecté?,60 Ohms ,	80 Ohms ,120 Ohms,150 Ohms,100 Ohms,C,,
50,2 - Electricité,Quelle valeur de résistance de terminaison faut-il trouver aux bornes d’un ECU qui est débranché ? ,60 Ohms ,	80 Ohms ,120 Ohms,150 Ohms,100 Ohms,C,,
51,2 - Electricité,Selon ce schémas ces batteries sont branchées comment ? ,Batteries couplées en Serie,Batteries couplées en Parallèle,Batterie couplées en Serie-Parallèle,En parallèle divisée,en serie additionnée,C,,
52,2 - Electricité,Sur ce schémas que mesure l'appareil indiqué avec le symbole ''V'' ?,Il mesure de l'intensité aux borne de L1 ,Il mesure la Tension aux bornes de L1 ,il mesure la résistance au borne de L1,il mesure la puissance au borne de L1,il mesure la Thermistance aux borne de L1,B,,
53,2 - Electricité,"Sur un Kerax 6X4 en éteignant le contact le tableau de bord reste éclairé et le contact allumé, en mettant les essuie glace le contact se coupe,  vous en déduisé ?",que le chauffeur ne sait pas se servir de la clé de contact ,c'est un problème de la clé de contact,ce n'est pas la bonne clé du camion,le circuit d'essuie glace est en court- circuit,il y à un retour de courant qui ré-alimente le tabeau de bord,E,,
54,2 - Electricité,"Sur un ventilateur à embrayage à commande électronique, le pilotage de la bobine se fait avec :", Une commande PWM,  Une commande par masse franche,Une commande par un + piloté,Une tension négative variable,une tension positive d'impulsion,A,,
55,2 - Electricité,"un Semi remorque arrive à l'atelier, le chauffeur vous montre les clés du camion en vous disant ''comment on arrête le moteur'', et en effet le moteur tourne encore et le chauffeur a les clés dans la main ! Mlorsque vous couper le copuie circuit, le moteur s'arrête",vous pensez que les electrovalves de Gas-oil sont bloquées en pleine ouverture,que le chauffeur vous montre les clés d'un autre camion,la prise ISO 7638 est déffectueuse et en court-circuit sur du positif,le Faisceau electrique du camion est défectueux,qu'il y à un problème sur le circuit d'alimentation de Gas-oil,C,,
56,3 - Diagnostic,A quel endroit on peut trouver l'adresse MAC du Bluetooh du KTS ?,Dans la notice du KTS,Dans la notice du DDM ,Dans le menu enregistrement licence,Dans le menu ''Aide'' du KTS,sur la face arrière de l'interface KTS,E,,
57,3 - Diagnostic,A quelle UCE est connectée la pédale d’accélérateur ? ,A l’UCE :  FFR, A l’ECU :  BBR,A l’ECU : EBV,A L'UCE EBS,A l'UCE EMS,A,,
58,3 - Diagnostic,Avec le KTS pouvez-vous controler un véhicule qui n'est pas d'un Pays Europeen ? ,Je ne sais pas,Oui bien sûr,Non pas sûr,je ne pense pas ,c'est mon collègue qui fait les diagnostic,B,,
59,3 - Diagnostic,Dans le DDM pouvez vous sélectionner les mises a jours ''Principales'' ou ''intermédiaires'' ? ,Non ,c'est paramétré automatiquement a l'installation,cette fonction existe pas,Oui,je ne sais pas,D,,
60,3 - Diagnostic,"dans le menu ''Sélection de mesure'' du KTS, est-il possible de de sélectionner les capteurs que je souhaite voir dans les Menus de contrôle ?",je ne pense pas ,cette fonction existe dans la Selection de mesure,cette fonction existe dans le menu configuration,je n'ai pas vu cette fonction,cette fonction n'existe pas dans le KTS,B,,
61,3 - Diagnostic,D'après vous comment se fait la mise a jour de Néo de Knorr-bremse ? ,la mise a jour se fait avec celle du KTS,la mise a jour se fait avec le DDM,je dois connecter le PC sur internet et allez sur le site web Knorr-Bremse,la mise a jour se fait automatiquement ,il n'y a pas de mise a jour a faire ,A,,
62,3 - Diagnostic,Dois-je supprimer la mémoire des (code défaut) dès le début du diagnostic ?,"Oui, immédiatement","Non, ne supprimez jamais la mémoire d'erreur",après avoir traité l'intégralité de la liste de défaut,Après avoir traité l'intégralité de la liste des défauts et enregistré le Fichier,ça ne sert a rien de les conserver,D,,
63,3 - Diagnostic,Est ce que le KTS me permet de connaitre l'affectatio des fusible d'un véhicule ?,Non cette fonction n'existe pas ,je ne sais pas,Oui dans les véhicules moteurs,Peut être,,C,,
64,3 - Diagnostic,Est-ce que je dois remettre a jour la licence du Testman tous les ans ?,Elle se fait avec celle du KTS,je crois,il n'y à pas de licence sur le Testman,Oui via le DDM,Oui,A,,
65,3 - Diagnostic,"Est-ce que le KTS me permet de connaitre la définition les abréviations des constructeurs ? exemple : WD EDC, VR, UPS, UIS etc…",je n'ai pas entendu parlé de cette fonction,Ces abréviations sont propores a chaque constructeur,je ne sais pas,Oui dans la partie schémas éléctrique,Oui dans le panneau de réglage,E,,
66,3 - Diagnostic,Est-ce que le KTS vous propose un mode ''sans véhicule'' pour voir un véhicule en particulier sans être connecté a ce véhicule ?,Non il faut qu'il soit connecté au véhicule,Cette fonction n'existe pas sur le KTS,oui en mode de connexion bluetooth,le KTS as un mode sans véhicule,je ne sais pas,D,,
67,3 - Diagnostic,Est-ce que sur les premières prises OBD je peux voir tous les système du camion ?,Oui absolument,Non,Uniquement le circuit des voyants défaut,Pas sûr,Seulement certains systèmes,B,,
68,3 - Diagnostic,indiquer dans quel système du véhicule la fonction Display dans le menu du KTS n'est pas présente !,Boite de vitesse,Dépollution,EBS,Suspension,Injection,A,,
69,3 - Diagnostic,Le KTS me permet-il de vérifier le signal d'un capteur d'arbre a came moteur en marche ?,Non je ne crois pas,Je ne sais pas,on ne peut pas contrôler ces capteurs,Non cette fonction n'existe pas,oui dans la selection de mesure,E,,
70,3 - Diagnostic,"Le KTS permet-il de contrôler les engins de TP, les balayeuses de rue, les moteurs stationnaire ?",Non,je ne sais pas,avec un boitier d'interface spécial c'est possible,avec une licence spéciale OWH c'est possible,avec des câbles spéciaux c'est possible,D,,
71,3 - Diagnostic,Le KTS vous permet -il de voir le tableau de maintenance des usures du véhicule ?,Oui sur certaines marques,Non,l'accés est réservé au constructeur,peut être mais pas sûr,cette fonction n'existe pas dans le KTS,A,,
72,3 - Diagnostic,Le Pin code 1 de votre KTS est a entrer a chaque fois que vous avez  besoin de régler un paramétre sur un véhicule ?,Non pas besoin ,pas besoin de Pin code ,tout les paramétres sont réglables sans Pin Code,j'utilise mon Code Pin Knorr Bremse,Non il est illimité,E,,
73,3 - Diagnostic,Le Pin Code 2 de votre KTS  a une durée de validité illimité ?,Oui une fois que je l'ai obtenu,Non elle est limitée a 3 ans,il est donné gratuitement,Oui puisse que j'ai fait une formation ,elle est limité a 5 ans,B,,
74,3 - Diagnostic,les prises de diagnostique de type OBD sont apparues sur les camions a partir de quelle année ?,2000,2005,2008,2010,2012,B,,
75,3 - Diagnostic,Ou je peux trouver l'identifiant ''ID KTS'' de l'inetrface du KTS ?,Dans le menu ''ESI'' du KTS,dans le menu                                   ''Réglage matériel'',Dans le menu ''Enregistrement Licence'',dans le menu ''Réglage Utilisateur'',Dans le Menu ''Mes contrats'' du DDM,C,,
76,3 - Diagnostic,Ou puis je trouver mon Numero de compte client KTS ? ,dans le menu ''Réglage Utilisateur'',Dans le menu ''ESI'' du KTS,Dans le Menu ''Mes contrats'' du DDM,dans le menu                                   ''Réglage matériel'',Dans le menu ''Enregistrement Licence'',D,,
77,3 - Diagnostic,Ou puis-je voir la date de renouvellement de la licence du KTS ?,Dans le menu ''Enregistrement Licence'',dans le menu                                   ''Réglage matériel'',Dans le menu ''ESI'' du KTS,dans le menu ''Mes contrats'' du DDM ,dans le menu ''Réglage Utilisateur'',A,,
78,3 - Diagnostic,Pouvez vous sélectionner plusieurs capteurs que vous souhaitez voir ?,Je ne sais pas,peut être ,ça va dépendre des véhicules,oui ,Non ,D,,
79,3 - Diagnostic,Pouvez-vous supprimer de votre ordinateur les anciennes mise a jour du KTS stockées sur votre PC ? ,Pas nécessaire le PC ne les stock pas,Oui ils sont dans le DDM ,Oui c'est possible,Non ce n'est pas possible,cette fonction n'existe pas,C,,
80,3 - Diagnostic,Que veut dire ''DDM'' ? ,Data Download Manager,Diagnostic Download Manager,Data Device Manager,Download Device Manger,je ne sais pas,B,,
81,3 - Diagnostic,qu'est ce que l'adresse MAC ? ,"c'est une fonction de 
Macintosh",C'est l'adresse Interface pour le bluetooh,c'est la ''Mise a condition'' du KTS,Mise a jour Calculateur,je ne sais pas,B,,
82,3 - Diagnostic,Si l'ecran de mon KTS ne montre que 2 onglets ? (Désignation et Equipement) ,C'est qu'il est en panne,c'est qu'il manque des fonctionnalités,La licence d'utilisation n'est pas active,C'est nomal ,c'est un KTS Bosch et non Alltrucks,C,,
83,3 - Diagnostic,"Sur le véhicule Lorsqu'il y à 2 prises de diagnostic, 1 OBD et 1 spécifique constructeur laquelle est-il préférable d'utiliser ?",la prise OBD est préférable,La prise OBD est plus récente,Pas de préférence particulière,les 2 donnent accès aux mêmes systèmes,la prise constructeur est préférable,E,,
84,3 - Diagnostic,"Sur quels véhicules, faut-il utiliser le KTS pour réaliser un calibrage de l’embrayage ? ","Daf, Iveco, Scania, Man",Renault Dxi avec Optidrive ,MB avec boîte auto ,Renault Midlum Dci,Volvo FL ,A,,
85,3 - Diagnostic,"Sur quels véhicules, le KTS doit-il être utilisé pour calibrer l'embrayage?","DAF, Iveco, Scania, Man",Renault Dxi with Optidrive ,MB with automatic transmission,Renault Midlum Dci,Volvo FL ,A,,
86,3 - Diagnostic,"Un rapport de code défaut est enregistré sur votre PC, pouvez vous l'envoyez par mail ? ",Non car le format est spécial,Pas de possibilité avec le KTS,Il fichier est juste en lecture seul,le KTS ne permet que de l'imprimer uniquement,Tout a fait possible,E,,
87,3 - Diagnostic,Quels sont les éléments à prendre en compte lors du test des capteurs à effet Hall ?,"Pour chaque essai, la source d'alimentation doit être déconnectée",Rien de spécifique à faire,Attention aux hautes tensions  dans le circuit secondaire,Vous devez utiliser un voltmètre,Vous devez utiliser un amperemètre,B,,
88,3 - Diagnostic,Y a-t-il un mode ''Démonstration dans le Néo ?,Oui bien sûr,je ne pense pas,pas a ma connaissance,Oui je crois,pas encore utilisé,C,,
89,4 - Circuit d'air et freinage - Camion, Quel est le rôle du correcteur de freinage ?,Purifier l'air dans le circuit pneumatique,Limiter la pression dans les réservoirs de frein et de servitude,Adapter la pression de freinage en fonction de la charge,Corriger le taux d'humidité du circuit,corriger la pression des coussins de la remorque,C,,
90,4 - Circuit d'air et freinage - Camion,Citez les circuits de freinage obligatoires sur un véhicule à moteur ?,Frein de service - Frein de secours,Frein de service- Frein de stationnement,Frein de stationnement - Frein de service,Frein de service - Frein de secours - Frein de stationnment,Frein de stationnement - Frein de service - Frein d'echappement,D,,
91,4 - Circuit d'air et freinage - Camion,Comment fonctionne le freinage lorsque le système EBS détecte un problème électrique ?,Le véhicule est immobilisé,Le freinage repasse en tout pneumatique conventionnel ,Le freinage est assuré à 50 % de la puissance effective ,Le freinage est assuré à 30 % de la puissance effective ,il n'y à plus de freinage,B,,
92,4 - Circuit d'air et freinage - Camion,Comment fonctionne le freinage lorsque le système EBS détecte un problème électrique?,Le véhicule est immobilisé,la pression de freinage augmente de 50%,Le freinage est assuré à 50% de la puissance effective,le freinage est assuré par le frein d'échappement,Le système de freinage revient à l'état conventionnel pneumatique,D,,
93,4 - Circuit d'air et freinage - Camion,de quelle couleur est identifiée la tête d'accouplement ''ALIMENTATION'' sur un véhicule porteur-remorqueur?,Bleu,Rouge,Jaune,violet,Noir,B,,
94,4 - Circuit d'air et freinage - Camion,De quelle couleur est identifiée la tête d'attelage `` POWER '' sur un véhicule semi-remorque?,Bleu,Rouge,Jaune,violet,Noir,B,,
95,4 - Circuit d'air et freinage - Camion,Est-il nécessaire de calibrer le capteur d’embardée lors de son remplacement?,Oui,Non,Cela dépend du véhicule,cela dépend du Capteur,cela dépend de l'EBS,A,,
96,4 - Circuit d'air et freinage - Camion,Est-il nécessaire de calibrer le Robinet de frein a pied lors de son remplacement?,Oui,Non,Cela dépend du véhicule,,,A,,
97,4 - Circuit d'air et freinage - Camion,Est-il nécessaire de réinitialiser l'ECU EBS après avoir remplacé le robinet de frein à pied?,Oui,Non,,,,B,,
98,4 - Circuit d'air et freinage - Camion,Est-il nécessaire de re-paramètrer l’ECU EBS suite au changement du robinet à pied?,Oui,Non,Cela dépend de l'Ebs,cela dépend de la marque du véhicule,cela dépend du robinet de frein a pied,B,,
99,4 - Circuit d'air et freinage - Camion,Lequel des éléments suivants est connecté au véhicule CAN?,Module de pression monovoie,Module de contrôle de la remorquz,Unité de contrôle éléctronique du moteur,,,C,,
100,4 - Circuit d'air et freinage - Camion,"Lorsque vous désaccouplez une remorque (en freinage conventionnel) d'un véhicule moteur, celle-ci est automatiquement freinée. Quel circuit de freinage est alors activé?",Frein de service ,Frein de stationnement,Frein de secours,le frein a bascule,le frein a pied,A,,
101,4 - Circuit d'air et freinage - Camion,"Lorsque vous dételez une remorque (au freinage conventionnel) d'un véhicule à moteur, elle est automatiquement freinée. Quel système de freinage est alors activé?",Frein de service,Frein à main,Arrêt d'urgence,,,A,,
102,4 - Circuit d'air et freinage - Camion,Parmi les éléments suivants quel est celui qui est connecté à la CAN Véhicule ?,Module de pression 1 voie,Module de commande de remorque,ECU Moteur,L'EBS remorque,,C,,
103,4 - Circuit d'air et freinage - Camion,Pour quelle raison la distance de freinage est-elle plus courte avec un camion équipé en EBS ?,Parce que les plaquettes de frein sont optimisées,Parce que la transmission des données s’effectue via la liaison CAN,Parce qu'il y à une circuit d'air haute pression,parce qu'il est équipé de frein a disque,parce que les circuits electriques sont en 24 V,B,,
104,4 - Circuit d'air et freinage - Camion,Pourquoi la distance de freinage est-elle plus courte avec un véhicule équipé d'EBS?,Parce que les plaquettes de frein sont optimisées,Parce que la transmission des données s'effectue via la liaison Can Bus,,,,B,,
105,4 - Circuit d'air et freinage - Camion,Qu’est ce que le freinage « backup » sur véhicule équipé d'EBS ?,Freinage pneumatique avec correction des forces de freinage en fonction de la charge,Freinage pneumatique sans correction des forces de freinage en fonction de la charge,Freinage electrique avec correction de charge,freinage electrique sans correction de la charge,,B,,
106,4 - Circuit d'air et freinage - Camion,Quel appareil peut déclencher un freinage dit «de secours» lorsqu'il est défectueux?,Arrêt d'urgence,Vanne de commande de remorque,Clapet de pied,,,C,,
107,4 - Circuit d'air et freinage - Camion,Quel est l' appareil qui peut déclencher un freinage dit « Backup » lorsqu'il est défectueux?,Modulateur de pression,Valve de commande de remorque,Robinet à pied,le frein de parc,le frein d'échappement,C,,
108,4 - Circuit d'air et freinage - Camion,Quel est le rôle du correcteur de freinage?,Purifier l'air dans le circuit pneumatique,Limitez la pression dans les réservoirs de frein et de service,corriger la pression de suspension,Adapter la pression de freinage en fonction de la charge,,D,,
109,4 - Circuit d'air et freinage - Camion,Quel est le rôle du régulateur de pression dans un circuit de freinage ?,Purifier l'air dans le circuit pneumatique,Limiter la pression dans les réservoirs de frein et de servitude,Adapter la pression de freinage en fonction de la charge,limiter la pression dans les coussins de suspension,a limiter la pression dans les coussins de suspension de cabine,B,,
110,4 - Circuit d'air et freinage - Camion,Quel est le rôle du régulateur de pression dans un système de freinage?,Purifier l'air dans le circuit pneumatique,Limitez la pression dans les réservoirs de frein et de service,Ajuster la pression de freinage en fonction de la charge,,,B,,
111,4 - Circuit d'air et freinage - Camion,Quelle est la tension d'alimentation d'un clapet de pied EBS2?,5 V,12 V,24 V,,,A,,
112,4 - Circuit d'air et freinage - Camion,Quelle est la tension d'alimentation d'un robinet à pied EBS2 ?,5 V,12 V,24 V,,,A,,
113,4 - Circuit d'air et freinage - Camion,Quels sont les systèmes de freinage obligatoires sur un véhicule à moteur?,Frein de service - Frein d'urgence,Frein de service - Frein de stationnement,Frein de stationnement - Frein de service,,,D,,
114,4 - Circuit d'air et freinage - Camion,Qu'est-ce que le freinage «de secours» sur les véhicules équipés d'EBS?,Freinage pneumatique avec correction en fonction de la charge des forces de freinage,Freinage pneumatique sans correction en fonction de la charge des forces de freinage,freinage a air direct,pression réservoir diminué de 30%,pression reservoir augmentée de 30%,B,,
115,4 - Circuit d'air et freinage - Camion,"Sur un EAC (APM), d'où provient l'air utilisé pour la régénération de la cartouche ?",D'un réservoir de régénération,En direct du compresseur,Des réservoirs de frein,,,C,,
116,4 - Circuit d'air et freinage - Camion,"Sur un EAC (APM), d'où vient l'air utilisé pour la régénération des cartouches?",du réservoir de régnération,En direct du compresseur,Réservoirs de frein,du réservoir des servitudes,du réservoir de la remorque,C,,
117,4 - Circuit d'air et freinage - Camion,"Sur un système EBS 5 avec contact coupé, le signal de freinage prioritaire à la valve de commande de remorque est?",Electric,Pneumatics,Electric and pneumatic,,,A,,
118,4 - Circuit d'air et freinage - Camion,"Sur un système EBS 5, contact coupé, le signal prioritaire de freinage vers la valve de commande de remorque est ?",Electrique,Pneumatique,Electrique et pneumatique,mécanique,hydraulique,A,,
119,4 - Circuit d'air et freinage - Camion,Un client se plaint du mauvais freinage de son véhicule. Pouvez vous modifier les réglages d'origine du constructeur?,Oui,Non,,,,B,,
120,4 - Circuit d'air et freinage - Camion,Un client se plaint du mauvais freinage de son véhicule. Pouvez-vous modifier les paramètres d'origine du fabricant ?,Oui,NON,c'est possible,,,B,,
121,5 - Circuit de freinage - Remorque,"A partir de l'instant où les freins sont appliqués, la distance de freinage est-elle diminuée grâce à l'EBS ?",Oui,Non,inchangée,,,B,,
122,5 - Circuit de freinage - Remorque,"A partir du moment où les freins sont serrés, la distance de freinage est-elle réduite grâce à l'EBS?",Oui,Non,,,,B,,
123,5 - Circuit de freinage - Remorque,À quoi sert une soupape d'addition anti-charge?,Empêcher l'addition des forces de freinage de service entre les essieux avant et arrière,Empêcher l'addition des forces du frein de service et du frein de stationnement,Empêcher l'addition des forces du frein de stationnement des essieux avant et arrière,,,B,,
